Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g),Ingredientes
tapioca com maçã caramelizada,60,186,38.0,0.3,0.0,"farinha de tapioca, maçãs, açúcar, canela, manteiga"
salada de frutas,160,80,21.0,1.0,0.2,"Morangos, bananas, kiwis, uvas, maçãs, outras frutas a gosto, suco de limão, hortelã frescca "
ovos mexidos com tomate,160,217,4.6,12.6,14.0,"Ovos, tomate, sal, pimenta a gosto"
biscoito de banana com canela,30,138,21.0,2.6,4.8,"Banana, canela, aveia ou farinha de amêndoas"
biscoito de banana com gotas de chocolate,20,92,12.0,1.3,4.3,"Banana, gotas de chocolate, aveia ou farinha de amêndoas"
bolo de tapioca,100,145,23.9,2.1,4.3,"farinha de tapioca, leite, açúcar, coco ralado, manteiga, leite de coco, sal"
crepioca de chocolate,100,327,34.4,13.9,14.9,"farinha de tapioca, ovos, cacau em pó, açúcar, leite"
crepioca de frango com queijo,100,455,14.0,10.0,6.0,"farinha de tapioca, ovos, frango desfiado, queijo, sal e temperos a gosto"
crepioca de presunto e queijo,100,220,11.0,9.4,7.2,"farinha de tapioca, ovos, presunto, queijo, sal, temperos a gosto"
crepioca de aveia sem gluten e banana,100,161,18.0,9.0,0.0,"farinha de tapioca, ovos, aveia, banana, canela (opcional)"
bolo de cenoura,35,135,29.0,1.6,1.5,"Farinha de amêndoas ou outra farinha sem glúten, cenouras raladas, ovos, óleo vegetal, açúcar, fermento em pó sem glúten, sal"
pudim de chia,100,88,10.0,3.0,5.0,"Leite, sementes de chia, mel ou adoçante a gosto, extrato de baunilha (opcional)"
mingau de aveia sem gluten,338,103,16.0,4.6,2.3,"Aveia, leite, mel ou adoçante a gosto"
smoothie de pitaya com banana,483,460,101.8,5.2,7.9,"Pitaya gelada, banana gelada, leite"
smoothie de mamão,100,118,22.0,7.6,0.0,"Mamão gelado, banana gelado, leite"
smoothie de manga com maracuja,120,80,20.0,1.0,0.0,"Manga gelada, maracujá gelado, banana gelada, leite sem glúten"
pudim de tapioca,100,235,22.0,1.0,13.0,"farinha de tapioca, leite de coco, açúcar, extrato de baunilha, coco ralado (opcional)"
granola com frutas e mel,40,154,26.0,4.6,3.4,"Aveia, frutas secas (como passas, cranberries), sementes (como chia, sementes de abóbora), mel"
ovo cremoso com queijo e requeijão,78,185,2.5,12.6,12.8,"ovos,queijo, requeijão, sal e pimenta a gosto"
banana amassada com cacau,15,36,0.0,0.0,0.0,"Bananas maduras, cacau em pó, mel ou outro adoçante (opcional)"
suco verde,180,81,21.5,1.2,0.4,"Espinafre, pepino, limão, água de coco, gengibre (opcional)"
sanduiche de presunto e espinafre,1,400,0.0,30.0,0.0,"Pão sem glúten, presunto, espinafre fresco, queijo, tomate (opcional)"
mingau de milho branco,200,271,36.7,4.9,11.1,"Milho branco em flocos, leite, açúcar ou adoçante a gosto, canela (opcional)"
biscoito de tapioca com queijo parmesão,100,320,36.0,14.0,13.0,"farinha de tapioca, queijo parmesão, sal a gosto"
quibe de quinoa,120,246,12.9,31.5,7.0,"Quinoa, carne moída, hortelã, cebola, temperos a gosto"
torta de amendoa,100,310,36.0,4.0,16.0,"Farinha de amêndoa, amêndoas, ovos, mel ou outro adoçante a gosto, essência de baunilha (opcional)"
mingau de banana,160,248,45.2,8.5,4.0,"Banana madura, aveia sem glúten, leite, canela, mel ou outro adoçante a gosto"
cereal de flocos de milho e arroz,50,186,34.0,2.2,4.6,"Flocos de milho, flocos de arroz, leite"
pé de moleque (barra de amendoim),12,57,5.1,2.3,3.6,"Amendoim, açúcar, mel, manteiga"
biscoito de mel e chocolate,72,174,34.0,4.0,3.0,"Farinha de amêndoas, mel, chocolate, manteiga"
cookie de coco,10,63,4.4,1.1,4.8,"Farinha de coco, coco ralado, açúcar, ovos, manteiga"
barrinha de gergelim e linhaça,10,45,3.5,1.6,3.3,"Gergelim, linhaça, mel, manteiga de amêndoas"
cookie de aveia com coco,10,21,3.0,0.6,0.7,"Aveia, coco ralado, açúcar, ovos, manteiga"
wrap de couve com frango e queijo,300,263,7.0,43.0,7.0,"Folhas de couve, frango cozido e desfiado, queijo, vegetais (como cenoura ralada, abacate, etc.), molho a gosto"
quiche alho poró e ricota,120,295,20.8,19.7,14.9,"farinha de arroz, alho-poró, ricota, ovos, leite"
quibe de berinjela e ricota,132,210,32.4,12.2,4.6,"Berinjela, ricota, quinoa ou farinha de arroz, temperos a gosto"
milho cozido com manteiga,100,161,25.3,5.8,4.8,"Espigas de milho, manteiga"
aipim cozido com manteiga,350,125,30.1,0.6,0.3,"Aipim (mandioca), manteiga"
mingau de arroz,21,71,17.0,0.9,0.0,"Arroz, leite sem glúten, açúcar ou adoçante a gosto, canela (opcional)"
tacos de milho com filetes de lombo suíno,35,93,4.7,5.0,6.1,"Tacos de milho, lombo suíno fatiado, temperos a gosto, vegetais para recheio (alface, tomate, cebola, etc.)"
smoothie de frutas vermelhas,80,39,7.2,0.6,0.2,"Frutas vermelhas (morangos, framboesas, mirtilos), iogurte natural, leite, mel ou adoçante a gosto"
parfait iogurte com manga e frutas vermelhas,140,275,54.0,4.1,4.7,"iogurte natural, manga cortada em cubos, frutas vermelhas (morangos, framboesas, mirtilos), granola (opcional)"
burrito de milho com frango e queijo,90,218,36.0,8.1,4.5,"Tortillas de milho, peito de frango cozido e desfiado, queijo, vegetais para recheio (alface, tomate, cebola, etc.)"
burrito de milho com costelinha ,100,128,16.0,5.7,4.5,"Tortillas de milho, costelinha suína desfiada, queijo"
burrito de milho com creme de avelã,75,306,41.0,4.4,14.0,"Tortillas de milho, creme de avelã, banana fatiada, morangos fatiados"
salada de atum,326,226,13.0,20.0,11.0,"Atum em lata, folhas verdes (alface, rúcula), tomate, pepino, azeite, sal e pimenta a gosto"
torrada sem glúten com abacate ,900,939,141.0,60.0,21.0,"Pão sem glúten, abacate fatiado, sal, pimenta e limão a gosto"
pudim de banana,50,56,9.5,3.0,1.0,"Banana madura, leite, ovos, mel ou adoçante a gosto"
abacate com leite,100,117,9.2,2.5,8.6,"Abacate maduro, leite adoçante a gosto (opcional)"
banana com leite e pasta de amendoim,300,5,1.0,0.0,0.0,"Banana, leite, pasta de amendoim"
"salada de frango com tomate, alface e abacate",245,233,7.5,17.5,17.7,"Peito de frango cozido e desfiado, tomate, alface, abacate, molho de sua escolha"
esfirra de carne feita com farinha de arroz,43,126,19.0,5.1,3.2,"farinha de arroz, carne moída temperada, cebola e tomate picados"
esfirra aberta de aveia,54,181,30.2,7.3,3.3,"farinha de arroz, aveia"
esfirra de frango com requeijão feita com farinha de arroz,55,102,12.0,3.1,4.0,"farinha de arroz, frango desfiado temperado, requeijão"
torta de frango feita com farinha de arroz,100,257,21.0,14.0,13.0,"farinha de arroz, frango desfiado temperado, vegetais a gosto, molho branco"
torta de legumes,103,148,15.8,4.7,7.4,"farinha de arroz, legumes variados (cenoura, brócolis, abobrinha, etc.), queijo, ovos e creme de leite "
torta de carne moída feita com farinha de arroz,50,107,5.6,6.5,6.2,"farinha de arroz, carne moída temperada, vegetais a gosto"
bola de carne feita com batata doce,100,303,34.0,11.0,12.0,"Carne moída, batata doce cozida e amassada, temperos a gosto"
ovos mexidos com requiejão cremoso,133,174,2.2,15.0,11.3,"ovos, requeijão, sal e pimenta a gosto"
ovos mexidos com abobrinha,284,132,11.5,8.7,6.1,"Abobrinha cortada em cubos, ovos, sal e pimenta a gosto, ervas frescas (opcional)"
ovos mexidos com cogumelos,100,91,2.0,6.4,6.3,"Cogumelos fatiados, ovos, sal e pimenta a gosto, ervas frescas (opcional)"
empadão de frango com palmito feito com farinha de arroz,150,287,24.0,12.0,19.0,"farinha de arroz, frango desfiado temperado, palmito, molho branco"
empadão de queijo com alho poró feito com farinha de arroz,150,229,23.1,7.3,11.9,"farinha de arroz, queijo sem glúten, alho-poró, molho branco sem glúten"
empadão de brocólis feito com farinha de arroz,300,351,42.0,15.0,12.0,"farinha de arroz, brócolis cozidos, queijo, molho branco"
empadão de carne feito com farinha de arroz,100,337,37.0,9.3,16.4,"farinha de arroz, carne moída temperada, vegetais a gosto, molho branco"
biscoito de polvilho ,30,156,26.0,0.9,5.7,"Polvilho doce, ovos, óleo vegetal, sal, leite"
vitaminada de banana com leite desnatado,270,99,19.3,6.5,0.1,"Banana madura, leite, mel ou adoçante a gosto"
vitaminada de abacate,300,274,24.3,11.2,17.3,"Abacate maduro. leite, mel ou adoçante a gosto"
vitaminada de beterraba com banana,286,196,26.4,7.6,6.8,"Beterraba cozida, banana, leite, mel ou adoçante a gosto"
vitaminada de morango,260,81,13.5,6.8,0.2,"Morangos, leite, mel ou adoçante a gosto"
panqueca de arroz e tomate,700,587,60.0,38.0,25.0,"Farinha de arroz, ovos, tomate picado, temperos a gosto, sal e pimenta a gosto"
panqueca de brocólis,302,213,33.2,13.2,4.5,"Farinha de arroz, ovos, brócolis cozidos e picados, queijo (opcional), sal e pimenta a gosto"
panqueca de banana com cacau,150,280,6.4,2.4,3.2,"Farinha de banana verde (ou farinha de arroz), banana madura, ovos, cacau em pó sem glúten, mel ou adoçante a gosto"
tortilha de milho com chocolate,22,100,0.0,0.0,3.1,"Tortillas de milho, chocolate (derretido ou em pedaços)"
tortilha de milho com queijo,25,122,15.0,1.4,6.4,"Tortillas de milho, queijo, tomate, cebola e pimentão (opcional)"
burrito de milho com carne e queijo,113,226,29.0,12.0,7.1,"Tortillas de milho, carne cozida e desfiada, queijo, tomate, alface e cebola (opcional)"
pão de milho com requeijão,70,223,32.0,6.7,7.8,"Farinha de milho, ovos, leite, fermento em pó, requeijão"
